DOI,Q
10.5334/cstp.108,Q57903396
10.1002/jwmg.373,Q73121414
10.1145/2998181.2998302,Q57302947
10.1186/1476-069X-13-82,Q28397010
10.1073/pnas.1201423109,Q30394790
10.1111/j.1523-1739.2011.01745.x,Q34038638
10.1016/j.ecolecon.2010.04.022,Q57594008
10.1088/1748-9326/2/4/045006,Q57594010
10.1080/089419200403866,Q73167986
10.1002/pam.10138,Q73121516
10.1177/0963662506076141,Q73177409
10.17730/humo.66.2.1582262175731728,Q74021241
10.1111/j.1523-1739.2007.00703.x,Q43945769
10.1177/03063127056068492,Q73177354
10.1890/06-0855,Q44231798
10.1177/1075547006298645,Q73180419
10.1641/B570111,Q57056771
10.1007/1-4020-5358-4_13,Q73121723
10.1068/a3901rvw,Q74021772
10.1007/1-4020-5358-4_5,Q73121727
10.1080/13698570701306930,Q73168826
10.1080/13698570701306765,Q57675960
10.1177/194008291300600403,Q74021509
10.1109/eScience.2013.52,Q58468589
10.1002/9781118679838.ch18,Q74021842
10.1027/1864-1105/a000077,Q73165805
10.2971/jeos.2013.13057,Q73183997
10.1109/UT.2013.6519842,Q60700267
10.19173/irrodl.v14i2.1531,Q73183868
10.1007/s00267-008-9103-9,Q31153234
10.3318/BIOE.2008.108.1.9,Q56944077
10.1186/1471-2458-8-186,Q30228912
10.1177/1077800407309409,Q73180504
10.1641/B580303,Q73183531
10.1007/s00267-007-9042-x,Q73132267
10.1179/030801808X260031,Q58499088
10.1007/s11051-007-9306-7,Q73135115
10.1080/09505430902870591,Q73168023
10.1080/08989620802388762,Q48858027
10.1071/WR08153,Q56773104
10.5751/ES-02594-130237,Q74021494
10.1007/s10531-008-9354-z,Q73133894
10.1080/00330120802211836,Q73167018
10.1177/0162243907309851,Q73177293
10.1016/j.actaastro.2007.11.010,Q73137335
10.1068/a4028,Q73166302
10.1038/nrg2441,Q57285888
10.1111/j.1541-0064.2008.00217.x,Q58178723
10.1899/07-101.1,Q73183863
10.1017/S0025315408001835,Q60485684
10.1007/s10531-007-9273-4,Q73133892
10.1111/j.1525-1446.2008.00724.x,Q45839969
10.1177/0261018308091272,Q73177322
10.1111/j.1558-5646.2008.00401.x,Q42029634
10.1021/es0871210,Q73165781
10.1890/070151,Q56774507
10.1186/1471-2458-8-168,Q30482664
10.1088/1748-9326/3/2/024002,Q21994584
10.1177/1075547007311971,Q73180423
10.1177/0162243907311262,Q73177295
10.1177/0162243907307594,Q73177291
10.1111/j.1558-5646.2007.00276.x,Q33309345
10.1007/s10806-007-9057-6,Q73134248
10.1080/13669870701552235,Q58485803
10.1560/IJEE.54.1.89,Q73183487
10.1080/10548400802508341,Q73168176
10.1080/14636770802326869,Q57702606
10.5751/ES-02197-120211,Q56687049
10.1007/s10841-007-9077-6,Q29397601
10.2753/CSA0009-4625400202,Q73183977
10.1177/1075547007308009,Q73180421
10.1016/j.actaastro.2006.12.010,Q73137333
10.1002/sd.347,Q61923040
10.1111/j.1477-8947.2007.00152.x,Q73173766
10.1177/0162243906298352,Q73177287
10.1016/j.apgeog.2006.11.002,Q73139155
10.1674/0003-0031(2007)157[312:POMBDP]2.0.CO;2,Q73183563
10.1007/s10530-007-9114-0,Q56775909
10.5751/ES-02239-130111,Q74021279
10.1108/08858620810850254,Q73170895
10.1080/01944360802291265,Q60608785
10.1016/j.jelepro.2007.04.013,Q73140731
10.1080/14636770802326901,Q61950343
10.1080/01944360802378096,Q73167084
10.1080/08941920701329710,Q58389447
10.1080/09537320701726320,Q57761989
10.1186/1471-2458-7-346,Q33308314
10.5751/ES-02274-1202r02,Q61660099
10.1111/j.1475-4959.2007.00254.x,Q73173761
10.1021/es072599+,Q43353557
10.1177/0306312707076602,Q73177358
10.1080/00049180701392758,Q29014396
10.1016/j.spasta.2013.01.002,Q73141957
10.1016/j.scitotenv.2012.10.095,Q36831421
10.1080/14742837.2013.807234,Q73168898
10.1109/EST.2013.6,Q73170963
10.18352/ijc.395,Q73183616
10.1186/gb-2013-14-10-r116,Q28657740
10.1016/j.apgeog.2012.11.012,Q73139166
10.1111/eea.12038,Q57049584
10.5194/nhess-13-3013-2013,Q61734091
10.1038/NCLIMATE1663,Q73165859
10.1177/0963662511403983,Q45783826
10.1145/2422956.2422964,Q73175131
10.4155/CMT.12.75,Q57267815
10.1016/j.cageo.2012.09.009,Q60136196
10.1177/1075547012438465,Q73180455
10.1093/aesa/sav054,Q73169885
10.1111/gcb.12909,Q30899067
10.1016/j.techfore.2015.05.018,Q73141973
10.1093/mnras/stv1243,Q68750648
10.1016/j.marpol.2015.04.022,Q73141115
10.1016/j.landurbplan.2015.04.010,Q60537381
10.1016/j.foodqual.2015.04.015,Q73140360
10.1371/journal.pone.0136522,Q35756156
10.1007/s10708-014-9564-8,Q56773331
10.1111/tgis.12116,Q59140238
10.1007/s11569-015-0226-1,Q73135224
10.1007/s00779-015-0837-0,Q73133281
10.1890/ES14-00485.1,Q59214671
10.1016/j.compenvurbsys.2014.08.001,Q73139805
10.3390/ijgi4031366,Q73184882
10.3390/ijgi4031389,Q73184885
10.3390/ijgi4031530,Q73184889
10.3390/ijgi4031707,Q73184892
10.3390/s150924466,Q30997037
10.1371/journal.pbio.1002240,Q35764672
10.1093/aesa/sav047,Q73169884
10.1016/j.techfore.2015.03.002,Q73141971
10.3732/apps.1500065,Q35793049
10.1179/1752270615Y.0000000010,Q73180565
10.1179/1752270615Y.0000000011,Q73180566
10.1179/1752270615Y.0000000013,Q73180569
10.1002/joc.4210,Q58320573
10.1016/j.advwatres.2015.07.004,Q73137345
10.1111/icad.12124,Q57017662
10.1111/een.12227,Q57008103
10.1016/j.jnc.2015.06.006,Q73140981
10.1007/s11252-014-0431-7,Q73135186
10.1017/S037689291500003X,Q73165755
10.1016/j.jnca.2015.05.010,Q73140991
10.1371/journal.pone.0136763,Q35757287
10.1016/j.marpolbul.2015.06.019,Q53458103
10.1080/13669877.2014.923027,Q59238566
10.1080/1523908X.2014.965808,Q73168944
10.3398/064.075.0206,Q73186723
10.1002/ece3.1588,Q36023947
10.1007/s11569-015-0229-y,Q73135225
10.1007/s10531-015-0924-6,Q73133917
10.1177/1420326X14531000,Q73180520
10.1016/j.ecolecon.2015.04.011,Q73140020
10.1007/s10530-015-0885-4,Q56431332
10.1111/1365-2664.12438,Q57020682
10.1111/1365-2664.12445,Q35771052
10.1016/j.biocon.2015.01.004,Q73139305
