DOI,Author Keywords
10.1145/2998181.2998302,Citizen science; Online communities; Survey
10.1186/s40064-016-1856-7,4273pi; 4273π; Bioinformatics; Computational science; Education; Public engagement; Public events; Teaching
10.1016/j.landusepol.2016.04.027,Conceptual framework; Land administration; Responsibilities; Restrictions; Rights; VGI
10.1080/1369118X.2015.1125936,geographic information science; geoweb; metasynthesis; Neogeography; volunteered geographic information
10.1177/0963662515607406,Lay expertise; Participation in science policy; Public participation; Public understanding of science; Science attitudes and perceptions; Science education; Scientific literacy
10.1177/0963662514528080,Nanotechnology; Public engagement; Risk perception; Science café
10.1177/0963662515602406,Acquisition of new technologies; Health and new technologies; Public participation
10.1016/j.rse.2016.04.022,Circumpolar; Phenology index; Sea ice; Teleconnection index; Vegetation productivity
10.1080/13658816.2016.1155214,disaster relief; Multiple criteria decision analysis; open-source GIS; participatory GIS; scenario analysis; Web-based GIS
10.1007/s12152-016-9259-6,Media coverage; Public engagement; Qualitative research; Science communication
10.1016/j.landurbplan.2016.04.001,Built environment; Greenway network; Greenway network planning; Physical activity; Public design; Volunteered geographic information
10.1080/21548455.2015.1043659,Program management; Public participation in scientific research; Volunteer outcomes
10.1080/13669877.2015.1042507,coastal zones; deficit model; positive illusions; risk awareness; risk perception normalization
10.1177/0963662514560489,Decision making in science; Health communication; Patients; Public understanding of science
10.1177/0963662515579838,Astronomy and space exploration; Discourse; Practitioners; Public images; Public participation; Space policy
10.1002/wcc.405,
10.1016/j.jhydrol.2016.04.062,Citizen science; Ethiopia; Hydrometeorology; Local data gaps; Quantitative validation; Water resource assessment
10.1016/j.envpol.2016.04.066,Acer pseudoplatanus; Citizen science; Nitrogen dioxide; Rhytisma acerinum; Tar spot
10.1016/j.ocecoaman.2016.04.006,Community-based mangrove forestry; Ghana; Livelihoods; Mangrove restoration; Resource conservation
10.1111/ibi.12367,birds of conservation concern; citizen science; migrant birds; migration phenology; population trends
10.1016/j.trc.2016.04.003,Data validation; Inverse Distance Weighting; Jaro-Winkler; OpenStreetMap; Traffic accident
10.1007/s10071-016-0976-3,Affect; Categories of play; Citizen science; Dog–human play; Vocalizations
10.1186/s12910-016-0117-1,Big data; Care.data; Citizen science; Citizenship; Crowdsourcing; National health research; Participant centric initiatives; Precision medicine; Public engagement; Recruitment
10.1080/08941920.2015.1080338,Citizen science; community-based natural resource management; cultural competence; environmental justice; race-specific competence; research ethics
10.1080/09640568.2015.1054477,citizen science; environmental management; Internet-based public participation GIS (PPGIS); SWOT analysis; volunteered geographic information (VGI)
10.1111/1467-9566.12400,childbirth; health policy; medicalisation; midwifery; obstetrics/obstetricians; patient and public engagement
10.1111/biom.12431,Detection probability; Opportunistic data; Sampling effort; Species distribution map
10.1007/s13753-016-0086-5,Crowdsourcing; Disaster risk reduction; Flood resilience; Social media; Volunteered geographic information (VGI)
10.13157/arla.63.1.2016.ed1,temas de investigación
10.1371/journal.pone.0156425,
10.1016/j.foodqual.2016.02.007,Flavour; Haptics; Oral-somatosensory; Sensation transference; Taste; Texture
10.1093/biosci/biw026,biodiversity; citizen science; conservation; traditional ecological knowledge; transdisciplinary collaboration
10.1371/journal.pone.0146038,
10.3138/cart.51.2.3301,Digital divides; Language identification; Latin America; OpenStreetMap; South America; Volunteered geographic information
10.1089/omi.2016.0032,
10.1371/journal.pone.0156388,
10.1088/0952-4746/36/2/S82,Citizen science; Crowdsourcing; Fukushima; Ionizing radiation; Media; Public information; Safecast
10.1002/wsb.657,Notoedres centrifera; notoedric mange; population; Sciurus griseus anthonyi; surveillance; western gray squirrels
10.1111/ddi.12428,Citizen science; EBird; Forest birds; Habitat associations; Seasonal migration; Species distribution models
10.1111/hex.12295,Attitudes; Biomedical research; Mode 1 and Mode 2; Patient and Public involvement; Public Engagement in Science; Scientists
10.1002/wsb.642,carnivores; citizen science; Lynx rufus; population index; Program MONITOR
10.1007/s11069-016-2284-2,Adaptive flood management; Flooding; Natural flood management
10.1007/s13593-016-0359-9,Britain; Citizen science; Farm management applications; France; Participatory research; Smartphones
10.1016/j.jrurstud.2016.02.015,Beekeeping; Citizen science; Diverse expertise; Knowledge controversies; Participatory governance; Pollinator health
10.1007/s10745-016-9819-8,
10.1016/j.scitotenv.2016.02.128,Disease prevention; Emerging contaminants; Human health; Private wells; Unregulated drinking water
10.1016/j.icarus.2016.01.021,Citizen Science; Cratering; Image processing; Impact processes; Moon
10.1111/acv.12243,biogeography; citizen science; conservation planning; knowledge shortfalls; migration; science communication
10.1007/s11111-015-0249-0,Amazon; Brazil; GIS; GPS; Probabilistic sampling; Research design; Satellite imagery; Survey
10.1109/THMS.2015.2463082,Big data; citizen science; crowdsourcing; data analysis
10.3847/0004-637X/823/1/32,galaxies: photometry; galaxies: spiral; Galaxy: general
10.1098/rsos.160091,Citizen science; Fibonacci phyllotaxis; Parastichy number; Sunflower Helianthus annuus
10.1108/AJIM-11-2015-0182,Citizen science; Crowdsourcing; Gaming; Intrinsic motivation; Play; Volunteering
10.1038/nbt0516-452c,
10.1371/journal.pbio.1002453,
10.1080/11263504.2016.1179234,big data; Biodiversity; data quality; mobile devices; public engagement
10.1080/03066150.2016.1141198,activist knowledge; climate justice; collaborative research; ecological distribution conflicts; EJatlas; environmental justice; environmental racism; environmentalism of the poor; statistical political ecology
10.1080/11263504.2016.1179232,Biodiversity; citizen science; identification; online nature guide
10.1080/11263504.2015.1057266,biodiversity informatics; database; floristic data; georeferencing; Italy; online platform; phytogeography
10.1002/wcc.403,
10.1109/JSTARS.2016.2539362,GIS; object extraction; random walker (RW); very-high-resolution (VHR) image; volunteered geographic information (VGI)
10.1002/wcc.392,
10.1002/ecs2.1351,Audubon; Bayesian hierarchical modeling; Bird conservation; Christmas Bird Count; Citizen science; Monitoring; North America; North American Breeding Bird Survey; Population trend.
10.1093/biosci/biw022,biodiversity data; conservation science; Global Biodiversity Information Facility (GBIF); information bias; knowledge gap
10.1002/ecs2.1325,Coral triangle; Habitat fragmentation; Landscape ecology; Landscape pattern indices; Marine conservation; Participatory GIS; Philippines; Remote sensing; Seascape; Spatial planning; Traditional ecological knowledge; WorldView-2
10.1371/journal.pone.0156409,
10.1371/journal.pone.0155571,
10.1111/gwat.12336,
10.1016/j.biocon.2016.03.013,Citizen science; Conservation action; Conservation cost; Conservation feasibility; Evidence-based conservation; Private land
10.1353/jhe.2016.0016,Indigenous knowledge; Public engagement; Science
10.1007/s10980-015-0299-9,Citizen science; Connectivity; Dispersal; Habitat quality; Land-use; Landscape; Lepidoptera; Species traits; Urbanization
10.1016/j.compenvurbsys.2016.02.009,Disaster management; Emergency management; Geospatial data; VGI; Volunteered geographic information
10.1007/s13280-015-0758-1,Citizen involvement; Conservation; Large trees; Old trees; Romania; Rural landscape; Transylvania; Wood-pasture
10.1016/j.isprsjprs.2015.09.008,ISPRS; Photogrammetry; Remote sensing; Research agenda; Spatial information science
10.1002/cpe.3705,contributory citizen science; resilience; risk communication; science gateway
10.1038/nature17620,
10.1080/21548455.2015.1133094,
10.1080/03632415.2016.1159063,
10.1080/10919392.2015.1125175,Action research; business model; design science; open data; open data application; open government; value creation; value management
10.1080/00330124.2015.1054750,citizen participation; local governance; public participatory GIS; urban planning
10.1080/00330124.2015.1065547,critical GIS; economic geography; OpenStreetMap; Philadelphia; urban farming
10.1080/00049182.2016.1138842,digital activism; feminism; more-than-real; Participatory geographic information systems (PGIS); social media; social movement
10.1080/14697017.2015.1128168,academia; Change; higher education; purpose; relevance
10.1080/17538947.2015.1039609,cropland; crowdsourcing; data quality; Geo-Wiki; image classification; volunteered geographic information
10.1080/00033790.2014.904633,
10.1007/s11036-016-0682-z,Citizen science; Data mules; Human relays; Mobile sensing
10.1002/ecs2.1303,Long-term monitoring; NEON; Open-source data; Plant phenology; Sample design; Special feature: NEON design
10.1525/abt.2016.78.4.317,Aedes aegypti; Aedes albopictus; citizen science; epidemiology; invasive species; mosquito surveillance; public health
10.1377/hlthaff.2015.1392,
